class,tweet
0,RT @joytooawesome: @gorgeouss_kee @vintage_monroe_ bitch nooooo ! Kim been mine you dreaming
0,CNT nobody be mad at who he choose to be with I can't be mad at no bitch its the nigga so hay
0,"I'll be a bitch if I have to. I don't like to be, but f*ck with me and it'll happen."
0,@kieffer_jason ha bitch who angry bitch am taller and older then your fake ass boy stfu your making yourself look like a dumbass pussy boyy!
0,@Dre_thinks lol lil bitch
0,LmaooooRT @BakeGriffin Remember when y'all bitches were Lotus Flower Bombs around this time last year
0,@Im_Thirst randies are fags
0,"I was smoking a blunt outside and these nasty country bitches jumped into the lake , naked &#128514;&#128514;&#128514; that lake is nasty as fuck &#128567;"
0,@PDaburei bitch nigga
0,RT @RobIsRandomAF_6: &#128514;&#128514;&#128514;&#128514;&#128514;This bitch came to the club with a broken neck? Bitch you serious? https://t.co/D4bpFhPj6x
0,Don't try and pull that fake friend shit on me bitch.
0,Let's not forget kim don't fight I kill hoes &#128514;
0,"@QueChele u know how Hispanics be takin All the jobs these niggers won't? Yeah, somethin like a hispanic"
0,Lamar Odom is such a little bitch. It's pathetic.
0,When her pussy doesn't taste like pineapples http://t.co/tWpg0XXwbB
0,"RT @rappersaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy."" http://t.co/wL3mtG&#8230;"
0,u a stupid hoe
0,Nobody should ever have sex with a dirty dick or pussy. That says a lot about you if you fuck em knowing they smell like chitlings
0,RT @kylegotjokes: Me when your bitch favorites my tweets http://t.co/MaOkZqlAOs
0,@Dranumaya wrong maybe you been dealing with pussies but I don't put up with that crap. If I f*** up telling me I f***** up. Keep it real
0,"RT @BeautysRaj: ""Ariana is probably the next Beyonce"" bitch if you don't back the fuck up http://t.co/g6XGmAqk52"
0,@bijoudulcet geminis rule hoe. &#128524;
0,RT @BlueBluesHair: When you and your friend are talking and that bitch y'all heavily don't fuck with walks past http://t.co/l8gNE4xXZg
0,Bitch had a redbook account with all selfies on the add like bitch no tricks wanna see yo face
0,RT @Princeeric11: #ReasonsIUnfollowedYou You unfollowed me first bitch
0,"RT @TooRacist: A black man asked me ""Hey white boy, do you like niggers?""

""Well I wouldn't use that word personally"" I said, ""Like is a st&#8230;"
0,RT @NotWorldStar: When you drop all your hoes for one person and y'all don't end up together http://t.co/lLViTXweMX
0,Jenna played the Weeknd &amp; Mac just looked at us like theeeese bitches..
0,Bitch bitch bitch
0,"@RacistNegro69 @MrMooncricket fuck you, punk ass racist lil dick bitch. I've reported you fool."
0,fuck your an bitch
0,#2013TaughtMe how pussy feels &#128514;&#128076;
0,RT @Bam_1OO: I like good weed &amp; bad bitches dat can roll it up
0,NEWS FLASH: Obama won the election and increase their numbers in congress. Stop with the bullshit already and compromise bitches!
0,"shutup fag &#8220;@MrAugustAIsina: on some real shit , females love a real nigga like me !&#8221;"
0,@samistonge some fucking bitches &#128514;&#128514;
0,Came home and found my cat sleeping on my pillow ;c I love that niggah.
0,"He said we gon be paying a bitch rent, I'm not even tryna buy her an extra sweet and sour sauce at McDonalds"
0,Not sure why someone would put my pictures on a escort website I ain't selling pussy
0,shout out to the bitches who like gum i be chewing that shit
0,"@Freegeezy17 nigga look my size, plus it get hit in the ass, an look like its been fighting all its life.... I'll sneak dat bitch an RUN!"
0,@crocodile_Craig bitch y u ain't come to school
