class,tweet
0,RT bitch nooooo ! Kim mine dreaming
0,CNT nobody mad choose I ca n't mad bitch nigga hay
0,"I 'll bitch I . I n't like , f * ck 'll happen ."
0,ha bitch angry bitch taller older fake ass boy stfu making look like dumbass pussy boyy !
0,lol lil bitch
0,LmaooooRT Remember y'all bitches Lotus Flower Bombs around time last year
0,randies fags
0,"I smoking blunt outside nasty country bitches jumped lake , naked lake nasty fuck"
0,bitch nigga
0,RT bitch came club broken neck ? Bitch serious ? https//t.co/D4bpFhPj6x
0,Do n't try pull fake friend shit bitch .
0,Let 's forget kim n't fight I kill hoes
0,"u know Hispanics takin All jobs niggers wo n't ? Yeah , somethin like hispanic"
0,Lamar Odom little bitch . It 's pathetic .
0,When pussy n't taste like pineapples http//t.co/tWpg0XXwbB
0,"RT When Tupac said `` I ai n't killer n't push , revenge sweetest joy next getting pussy . '' http//t.co/wL3mtG"
0,u stupid hoe
0,Nobody ever sex dirty dick pussy . That says lot fuck em knowing smell like chitlings
0,RT Me bitch favorites tweets http//t.co/MaOkZqlAOs
0,wrong maybe dealing pussies I n't put crap . If I f * * * telling I f * * * * * . Keep real
0,RT `` Ariana probably next Beyonce '' bitch n't back fuck http//t.co/g6XGmAqk52
0,geminis rule hoe .
0,RT When friend talking bitch y'all heavily n't fuck walks past http//t.co/l8gNE4xXZg
0,Bitch redbook account selfies add like bitch tricks wan na see yo face
0,RT # ReasonsIUnfollowedYou You unfollowed first bitch
0,"RT A black man asked `` Hey white boy , like niggers ? '' `` Well I would n't use word personally '' I said , `` Like st"
0,RT When drop hoes one person y'all n't end together http//t.co/lLViTXweMX
0,Jenna played Weeknd & amp Mac looked us like theeeese bitches ..
0,Bitch bitch bitch
0,"fuck , punk ass racist lil dick bitch . I 've reported fool ."
0,fuck bitch
0,# 2013TaughtMe pussy feels
0,RT I like good weed & amp bad bitches dat roll
0,NEWS FLASH Obama election increase numbers congress . Stop bullshit already compromise bitches !
0,"shutup fag real shit , females love real nigga like !"
0,fucking bitches
0,Came home found cat sleeping pillow c I love niggah .
0,"He said gon paying bitch rent , I 'm even tryna buy extra sweet sour sauce McDonalds"
0,Not sure someone would put pictures escort website I ai n't selling pussy
0,shout bitches like gum chewing shit
0,"nigga look size , plus get hit ass , look like fighting life .... I 'll sneak dat bitch RUN !"
0,bitch u ai n't come school
0,Your acting like spoiled little faggot fun
0,hoes ai n't loyal n niggas ai n't either ! ! fuck ah bitch get ah bird
0,RT & amp guys thought sharkiesha shovel girl crazy .. snapped bitches nose . https//t.co/5
0,HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS . http//t.co/H0JGORtnF8 - Dis heaven fo colored man
0,Smoke good weed bad bitch give good girl bad habits
0,"I got gang old ass drafts , trash"
0,I n't trust bitch ... I dog em
0,Fat bitch
0,Squidward face ass bitch
0,Ugh I fuckin hate bitch n't answer calls ewwwwwww
0,I wan na slit mf throat
0,"Fuck I need fat bitch , skinny bitches ai n't hungry da mula hahaha"
0,This pussy dryer ... RT Drier vs. Dryer (
0,I fucking hate niggers bruh ... http//t.co/OeTK4f94BO
0,If chick wants eat pussy leave I 'll accept gladly . Lol
0,The pilot seen eyes said awfully red I told I get high bitch I 'm man http//t.co/uloUE2qx3p
0,"RT Cruising street 64 , jockin bitches , slappin hoes"
0,bitch im mad im finna throw bitch outside
0,"I want one ae yous start something tbh , yous aw pussy # shame"
0,RT fuuck jalens slow bitch !
0,I 'm delivering bitch boy anymore .
0,`` pussy powerful drug `` # HappyHumpDay http//t.co/R8jsymiB5b
0,RT Who bitches take ?
0,"I STUD year .... That bitch , attitude nasty ."
0,RT y'all hoes annoying
0,plz go Starbucks . Ebola sounds like really ghetto hood name tbh .
0,These hoes got ta pay company !
0,holy fuck yall little bitches . likein san antonio stfu
0,Having bitch come handy times like
